 2023-24 Survey Materials: Glossary  ," Date: 07-18-2023"
"Postsecondary award, certificate, or diploma (at least 2 but less than 4 academic years) (old definition)","An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) in at least 2 but less than 4 full-time equivalent academic years , or designed for completion in at least 60 but less than 120 semester or trimester credit hours, or in at least 90 but less than 180 quarter credit hours, or in at least 1,800 but less than 3,600 clock hours.",""
"Postsecondary award, certificate, or diploma (less than 1 academic year) (old definition)","An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) in less than 1 academic year (2 semesters or 3 quarters), or designed for completion in less than 30 semester or trimester credit hours, or in less than 45 quarter credit hours, or in less than 900 clock hours.",""
"Postsecondary award, certificate, or diploma (less than 300 clock hours, 9 semester or trimester credit hours, or 13 quarter credit hours)","An award that requires completion of an organized program of study at the postsecondary level (below the baccalaureate degree) designed for completion in less than 300 clock hours, or in less than 9 semester or trimester credit hours, or less than 13 quarter credit hours. Beginning in 2020-21, this award level category was one of two added options for reporting certificates of less than one academic year in length.",""
"Postsecondary education","The provision of a formal instructional program whose curriculum is designed primarily for students who are beyond the compulsory age for high school. This includes programs whose purpose is academic, vocational, and continuing professional education,  and excludes avocational and adult basic education programs.",""
"Postsecondary education institution","An institution which has as its sole purpose or one of its primary missions, the provision of postsecondary education.",""
"Postsecondary Statistics Division (PSD)","The Postsecondary Statistics Division (PSD) is the organizational unit within the National Center for Education Statistics (NCES) where IPEDS is conducted.",""
"Postsecondary Teachers","An occupational category in the 2018 Standard Occupational Classification (SOC) Manual with the SOC code 25-1000.&nbsp; This category is not an IPEDS reporting category.",""
"Predominant calendar system","The method by which an institution structures most of its courses for the academic year.",""
"Prepaid tuition plan","A program that allows students or their families to purchase college tuition or tuition credits for future years, at current prices.",""
"Preservation","Activities associated with maintain library and archival materials for use in their original form or some other usable way. Examples include rebinding, de-acidification, restoration, lamination, materials conservation and digitization.",""
"Primarily Instruction","An occupational category used to classify persons whose specific assignments customarily are made for the purpose of providing instruction or teaching. Regardless of title, academic rank, or tenure status, these employees formally spend the majority of their time providing instruction or teaching.",""
"Primary occupational activity","<P>The principal activity of a staff member as determined by the institution. If an individual participates in two or more activities, the primary activity is normally determined by the amount of time spent in each activity. Occupational activities are designated as follows: Executive, administrative, and managerial; Faculty (instruction/research/public service); Graduate assistants; Other professional (support/service); Technical and paraprofessional; Clerical and secretarial; Skilled crafts; and Service/maintenance (see separate definitions).</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Private for-profit institution","A private institution in which the individual(s) or agency in control receives compensation other than wages, rent, or other expenses for the assumption of risk.","Private institution,Private not-for-profit institution,Public institution"
"Private gifts (Revenues)","Revenues from private (non-governmental) entities including revenues received from gift or contribution nonexchange transactions (including contributed services) except those from affiliated entities. Includes bequests, promises to give (pledges), gifts from an affiliated organization or a component unit not blended or consolidated, and income from funds held in irrevocable trusts or distributable at the direction of the trustees of the trusts. Includes any contributed services recognized (recorded) by the institution.",""
"Private gifts, grants and contracts (revenues)","Revenues from private donors for which no legal consideration is involved and from private contracts for specific goods and services provided to the funder as stipulation for receipt of the funds. Includes only those gifts,  grants, and contracts that are directly related to instruction,  research, public service, or other institutional purposes. Includes monies received as a result of gifts, grants, or contracts from a foreign government. Also includes the estimated dollar amount of contributed services.",""
"Private grants and contracts (Revenues)","Revenues from private (non-governmental) entities that are for specific research projects, other types of programs, or for general institutional operations (if not government appropriations). Examples are research projects, training programs, and similar activities for which amounts are received or expenses are reimbursable under the terms of a grant or contract, including amounts to cover both direct and indirect expenses.",""
"Private institution","An educational institution controlled by a private individual(s) or by a nongovernmental agency, usually supported primarily by other than public funds, and operated by other than publicly elected or appointed officials. These institutions may be either for-profit or not-for-profit.","Private for-profit institution,Private not-for-profit institution,Public institution"
"Private not-for-profit institution","A private institution in which the individual(s) or agency in control receives no compensation, other than wages, rent, or other expenses for the assumption of risk. These include both independent not-for-profit schools and those affiliated with a religious organization.","Private for-profit institution,Private institution,Public institution"
"Production, Transportation, and Material Moving Occupations","An occupational category based on the following two major groups in the 2018 Standard Occupational Classification (SOC) Manual:&nbsp; 1) Production Occupations (https://www.bls.gov/soc/2018/major_groups.htm#51-0000) and 2) Transportation and Material Moving Occupations (https://www.bls.gov/soc/2018/major_groups.htm#53-0000).",""
"Program","A combination of courses and related activities organized for the attainment of broad educational objectives as described by the institution.",""
"Program category","A summary of groups of related instructional programs  designated by the first 2 digits of its appropriate Classification of Instructional Programs (CIP) code.",""
"Program Participation Agreement (PPA)","A written agreement between a postsecondary institution and the Secretary of Education. This agreement allows institutions to participate in any of the Title IV student assistance programs other than the State Student Incentive Grant (SSIG) and the National Early Intervention Scholarship and Partnership (NEISP) programs. The PPA conditions the initial and continued participation of an eligible institution in any Title IV program upon compliance with the General Provisions regulations, the individual program regulations, and any additional conditions specified in the program participation agreement that the Department of Education requires the institution to meet. Institutions with such an agreement are referred to as Title IV institutions .",""
"Program specialty","A specific instructional program that can be identified by a 6-digit Classification of Institutional Programs (CIP) Code.",""
"Program with no recognized postsecondary credential","Any formally organized program with stated educational objectives and well-defined completion requirements that does not lead to a recognized postsecondary credential.",""
"Programs of at least 2 years but less than 4 years","Programs requiring at least 2 years but less than 4 years of full-time equivalent college level work, including associate's degrees  and programs  that can be completed in at least 1,800 but less than 3,600 clock hours  to obtain a degree, diploma,  certificate, or other recognized postsecondary credential.",""
"Programs of at least 4 years","Programs designed to be completed in at least 8 semesters or 12 quarters to obtain a degree, diploma,  or other recognized postsecondary credential. Includes programs  resulting in all bachelor's degrees  and other baccalaureate level or equivalent degrees, as well as 5-year cooperative programs, and those programs in which the normal 4 years of work are designed to be completed in 3 years.",""
"Programs of less than 2 years","Programs requiring less than 2 years of full-time equivalent college level work (4 semesters or 6 quarters) or less than 1,800 clock hours  to obtain a degree,  diploma,  certificate,  or other recognized postsecondary credential.",""
"Promise Program","Residency-based scholarship programs for high school graduates at selected postsecondary institutions. Programs may have additional requirements beyond residency and can be either a first-dollar or last-dollar benefit.",""
"Public institution","An educational institution whose programs  and activities are operated by publicly elected or appointed school officials and which is supported primarily by public funds.","Private for-profit institution,Private institution,Private not-for-profit institution"
"Public service","A functional expense category that includes expenses for activities established primarily to provide noninstructional services beneficial to individuals and groups external to the institution. Examples are conferences, institutes, general advisory service, reference bureaus, and similar services provided to particular sectors of the community. This function includes expenses for community services, cooperative extension services, and public broadcasting services. Also includes information technology expenses related to the public service activities if the institution separately budgets and expenses information technology resources (otherwise these expenses are included in academic support). Institutions include actual or allocated costs for operation and maintenance of plant, interest, and depreciation.",""
"Public Service staff","<P>An occupational category used to classify persons whose specific assignments customarily are made for the purpose of carrying out public service activities such as agricultural extension services, clinical services, or continuing education. Regardless of title, academic rank, or tenure status, these employees formally spend the majority of their time carrying out public service activities. (This category includes employees with a public service assignment regardless of the location of the assignment (e.g., in the field rather than on campus)).<BR>(This category was called Primarily public service prior to 2012-13.)</P>",""
"Qualified Audit Opinion","An independent auditor's written statement on their audit report that a client's financial statements fairly represent their financial position in accordance with Generally Accepted Accounting Principles (GAAP), EXCEPT for the specified issues.",""
"Quarter (calendar system)","A calendar system in which the academic year consists of 3 sessions called quarters of about 12 weeks each. The range may be from 10 to 15 weeks as defined by the institution. There may be an additional quarter in the summer.",""
"Quasi-endowment funds","Funds established by the governing board to function like an endowment fund but which may be totally expended at any time at the discretion of the governing board. These funds represent nonmandatory transfers from the current fund rather than a direct addition to the endowment fund, as occurs for the true endowment categories.",""
"Race and ethnicity unknown","The category used to report students or employees whose race and ethnicity are not known.",""
"Race/ethnicity","Categories developed in 1997 by the Office of Management and Budget (OMB) that are used to describe groups to which individuals belong, identify with, or belong in the eyes of the community. The categories do not denote scientific definitions of anthropological origins. The designations are used to categorize U.S. citizens, residents, and other eligible non-citizens.<br><br>Individuals are asked to first designate ethnicity as:<br>&nbsp;&nbsp;&nbsp;<b>-</b> Hispanic or Latino or <br>&nbsp;&nbsp;&nbsp;<b>-</b> Not Hispanic or Latino<br><br>Second, individuals are asked to indicate all races that apply among the following:<br>&nbsp;&nbsp;&nbsp;<b>-</b> American Indian or Alaska Native<br>&nbsp;&nbsp;&nbsp;<b>-</b> Asian<br>&nbsp;&nbsp;&nbsp;<b>-</b> Black or African American<br>&nbsp;&nbsp;&nbsp;<b>-</b> Native Hawaiian or Other Pacific Islander<br>&nbsp;&nbsp;&nbsp;<b>-</b> White",""
"Race/ethnicity (old definition)","Categories used to describe groups to which individuals belong, identify with, or belong in the eyes of the community. The categories do not denote scientific definitions of anthropological origins. A person may be counted in only one group. The groups used to categorize U.S. citizens, resident aliens, and other eligible non-citizens are as follows: Black, non-Hispanic, American Indian/Alaska Native, Asian/Pacific Islander, Hispanic, White, non-Hispanic.",""
"Realized capital gains","A capital gain on securities held in a portfolio that has become actual by the sale or other type of surrender of one or many securities.",""
"Received aid","For the purposes of the IPEDS Student Financial Aid (SFA) component, aid received refers to financial aid that was awarded to, and accepted by, a student. This amount may differ from the aid amount that is disbursed to a student. For example, a student may accept aid that was awarded by the institution but then leave the institution prior to the aid being disbursed. In this case, because the student accepted the aid, the aid would be reported to IPEDS, even though it was NOT actually disbursed to the student.",""
"Recognized postsecondary credential","A recognized postsecondary credential includes any credential that is recognized by the institution’s appropriate governing body and received after completion of an academic program or that is awarded in recognition of an individual's attainment of measurable technical or industry/occupational skills necessary to obtain employment or advance within an industry/occupation. These technical or industry/occupational skills generally are based on standards developed or endorsed by employers or industry associations.",""
"Required fees","Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does not pay the charge is an exception.",""
"Research","A functional expense category that includes expenses for activities specifically organized to produce research outcomes and commissioned by an agency either external to the institution or separately budgeted by an organizational unit within the institution. The category includes institutes and research centers, and individual and project research. This function does not include nonresearch sponsored programs (e.g., training programs). Also included are information technology expenses related to research activities if the institution separately budgets and expenses information technology resources (otherwise these expenses are included in academic support.) Institutions include actual or allocated costs for operation and maintenance of plant, interest, and depreciation.",""
"Research Staff","An occupational category used to classify persons whose specific assignments customarily are made for the purpose of conducting research. Regardless of title, academic rank, or tenure status, these employees formally spend the majority of their time conducting research.&nbsp;<BR>(This category was called Primarily research prior to 2012-13.) <P></P>",""
"Reserve Officer Training Corps (ROTC)","Programs designed to augment the service academies in producing leaders and managers for the armed forces. Each branch of the service has a specific set of courses and training that a student must complete prior to becoming a commissioned officer. ROTC programs  allow students to do this while completing their college education. Upon graduation members are commissioned (certified) by the President of the United States to serve as an officer in active, reserve or guard components of each branch",""
"Residence","A person's permanent address determined by such evidence as a driver's license or voter registration. For entering freshmen, residence may be the legal residence of a parent or guardian.",""
"Resident (and other eligible non-citizens)","A person who is not a citizen or national of the United States but who has been admitted as a legal immigrant for the purpose of obtaining permanent resident status (and who holds either a registration card (Form I-551 or I-151), a Temporary Resident Card (Form I-688), or an Arrival-Departure Record (Form I-94) with a notation that conveys legal immigrant status such as Section 207 Refugee, Section 208 Asylee, Conditional Entrant Parolee or Cuban-Haitian).","U.S. Nonresident"
"Respondent burden estimate","<font face='verdana,arial,helvetica,sans-serif'>The estimated amount of time that it takes to fulfill IPEDS reporting responsibilities, including the time it takes to review instructions, query and search data sources, complete and review the components, and submit the data through the Data Collection System.</font>",""
"Restricted current funds","Funds available for financing operations but which are limited by donors or other external agencies to specific purposes, programs , departments, or schools. These funds are subject to externally imposed restrictions which are different from the internal designations imposed by the governing board on unrestricted funds.",""
"Restricted net assets (FASB institutions only)","Assets held by the institution upon which restrictions have been placed by donors. These restrictions may be temporary or permanent. They restrict the institution in its use of the assets and/or the period of time for which the restriction applies.",""
"Restricted-expendable (net assets)","Net assets of GASB institutions that are expendable but subject to imposed restrictions. Restrictions exist when constraints placed on use are either (a) externally imposed by creditors, grantors, contributors, or laws and regulations of other governments, or (b) imposed by law through constitutional provisions or enabling legislation.",""
"Restricted-nonexpendable (net assets)","Net assets of GASB institutions subject to restrictions that prohibit the expenditure of the net assets in perpetuity. Restrictions exist when constraints placed on use are either (a) externally imposed by creditors, grantors, contributors, or laws and regulations of other governments, or (b) imposed by law through constitutional provisions or enabling legislation. Permanent endowments  are the most common example.",""
"Retention rate","A measure of the rate at which students persist in their educational program at an institution, expressed as a percentage. For four-year institutions, this is the percentage of first-time bachelors (or equivalent) degree-seeking undergraduates  from the previous fall who are again enrolled in the current fall. For all other institutions this is the percentage of first-time degree/certificate-seeking students from the previous fall who either re-enrolled or successfully completed their program by the current fall.",""
"Returnables","Materials that the library expects to have returned. Examples of returnables include books, dissertations and theses, microfilm reels, sound recordings, and audiovisual material.",""
"Revenues","The inflow of resources or other enhancement of net assets (or fund balance) of an institution or settlements of its liabilities (or a combination of both) from delivering or producing goods, rendering services, or other activities that constitute the institution's ongoing major or central operations. Includes revenues from fees and charges, appropriations, auxiliary enterprises, and contributions and other nonexchange transactions. Revenues are reported net of discounts and allowances (that is, the revenue reported is reduced by the amount of discounts and allowances) for FASB institutions and for GASB institutions that have implemented GASB Statement No. 34.",""
"Revised cohort","Initial cohort after revisions are made. Cohorts may be revised if an institution discovers that incorrect data were reported in an earlier year.",""
"Salaries and wages","Amounts paid as compensation for services to all employees - faculty, staff, part-time, full-time, regular employees, and student employees. This includes regular or periodic payment to a person for the regular or periodic performance of work or a service and payment to a person for more sporadic performance of work or a service (overtime, extra compensation, summer compensation, bonuses, sick or annual leave, etc.).",""
"Salary Outlay","Projected annual expenditure for salaries.",""
"Sales and Related Occupations","An occupational category based on the major group in the 2018 Standard Occupational Classification (SOC) Manual called 'Sales and Related Occupations.' For detailed information refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#41-0000.",""
"Sales and services of educational activities (revenues)","Revenues from the sales of goods or services that are incidental to the conduct of instruction,  research or public service. Examples include film rentals, sales of scientific and literary publications, testing services, university presses, dairy products, machine shop products, data processing services, cosmetology services, and sales of handcrafts prepared in classes.",""
"Sales and services of hospitals (revenues)","Revenues (net of discounts, allowances,  and provisions for uncollectible accounts receivable) generated by hospitals from daily patient, special and other services. Revenues of health clinics that are part of a hospital should be included in this category, unless such clinics are part of the student health services program.",""
"SAT","Previously known as the Scholastic Aptitude Test, this is an examination administered by the Educational Testing Service (ETS) and used to predict the facility with which an individual will progress in learning college-level academic subjects.",""
"Scholarships","Grants-in-aid, trainee stipends, tuition and required fee waivers, prizes or other monetary awards given to undergraduate students.",""
"Scholarships and fellowships","Outright grants-in-aid, trainee stipends, tuition and fee waivers, and prizes awarded to students by the institution, including Pell grants. Awards to undergraduate students are most commonly referred to as 'scholarships' and those to graduate students  as 'fellowships.'  These awards do not require the performance of services while a student (such as teaching) or subsequently as a result of the scholarship or fellowship. The term does not include loans to students (subject to repayment), College Work-Study Program (CWS), or awards granted to a parent of a student because of the parent's faculty or staff status. Also not included are awards to students where the selection of the student recipient is not made by the institution.",""
"Scholarships and fellowships (expenses)","That portion of scholarships and fellowships granted that exceeds the amount applied to institutional charges such as tuition and fees or food and housing. The amount reported as expense excludes allowances and discounts. The FASB survey uses the term 'net grants in aid to students' rather than 'scholarships and fellowships.'",""
"Schools of art, music, and design (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Schools of Art, Music, and Design award most of their bachelor's or graduate degrees  in art, music, design, architecture, or some combination of such fields.","Carnegie Classification,Specialized institutions (Carnegie)"
"Schools of business and management (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Schools of Business and Management award most of their bachelor's or graduate degrees  in business or business-related programs.","Carnegie Classification,Specialized institutions (Carnegie)"
"Schools of engineering and technology (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Schools of Engineering and Technology award most of their bachelor's or graduate degrees  in technical fields of study.","Carnegie Classification,Specialized institutions (Carnegie)"
"Schools of law (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching Schools of Law award most of their degrees  in law.","Carnegie Classification,Specialized institutions (Carnegie)"
"Sector","One of nine institutional categories resulting from dividing the universe according to control and level. Control categories are public, private not-for-profit, and private for-profit. Level categories are 4-year and higher (4 year), 2-but-less-than 4-year (2 year), and less than 2-year. For example: Public, 4-year is one of the institution sectors.",""
"Semester (calendar system)","A calendar system that consists of two sessions called semesters during the academic year with about 15 weeks for each semester of instruction. There may be an additional summer session. <b>Note:</b> the standard term length range is defined&nbsp;by the Office of Postsecondary Education. More information can be found at: https://ifap.ed.gov/electronic-announcements/110519RevisionGuidelinesApplicableStandardTerms",""
"Serial","A serial is a publication in any medium issued in successive parts bearing numerical or chronological designations and intended to be continued indefinitely. This definition includes periodicals, newspapers, and annuals (reports, yearbooks, etc.); the journals, memoirs, proceedings, transactions, etc. of societies; and numbered monographic series.",""
"Serial back-files","Previous issues of serial titles that libraries buy back (such as back issues of magazines).",""
"Serial subscriptions","Publications issued in successive parts, usually at regular intervals, and, as a rule, intended to be continued indefinitely. Serial subscriptions include periodicals, newspapers, annuals (reports, yearbooks, etc.), memoirs, proceedings, and transactions of societies.",""
"Serial titles","Titles of serials collected.",""
"Service Occupations","An occupational category based on the following five major groups in the 2018 Standard Occupational Classification (SOC) Manual:&nbsp; 1) Healthcare Support Occupations (https://www.bls.gov/soc/2018/major_groups.htm#31-0000); 2) Protective Service Occupations (https://www.bls.gov/soc/2018/major_groups.htm#33-0000); 3) Food Preparation and Serving Related Occupations (https://www.bls.gov/soc/2018/major_groups.htm#35-0000); 4) Building and Grounds Cleaning and Maintenance Occupations (https://www.bls.gov/soc/2018/major_groups.htm#37-0000); and 5) Personal Care and Service Occupations (https://www.bls.gov/soc/2018/major_groups.htm#39-0000).",""
"Service/maintenance","<P>A primary function or occupational activity category used to classify persons whose assignments require limited degrees of previously acquired skills and knowledge and in which workers perform duties that result in or contribute to the comfort, convenience, and hygiene of personnel and the student body or that contribute to the upkeep of the institutional property. Includes titles such as fire fighters; law enforcement workers; parking enforcement workers; police officers; security guards; lifeguards; ski patrol; cooks and food preparation workers; food and beverage serving workers; fast food and counter workers; waiters and waitresses; other food preparation and serving related workers; building cleaning and pest control workers; grounds maintenance workers; electrical and electronic equipment mechanics; installers and repairers; radio and telecommunications equipment installers and repairers; avionics technicians; electric motor, power tool, and related repairers; vehicle and mobile equipment mechanics, installers, and repairers; control and valve installers and repairers; heating, air conditioning, and refrigeration mechanics and installers; air transportation workers; motor vehicle operators; and parking lot attendants.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Servicemembers Opportunity Colleges","A membership group of over 1,700 institutions that functions to expand and improve voluntary postsecondary opportunities for servicemembers worldwide. It is funded by the Department of Defense through a contract with the American Association of State Colleges and Universities (AASCU).",""
"Shared library","A facility housing an organized collection of printed, microform, and audiovisual materials, and (a) is jointly administered by more than one educational institution, or (b) whose funds or operating expenditures have been received from more than one educational institution. The location of the facility is not a determining factor.",""
"Skilled crafts","<P>A primary function or occupational activity category used to classify persons whose assignments typically require special manual skills and a thorough and comprehensive knowledge of the processes involved in the work, acquired through on-the-job-training and experience or through apprenticeship or other formal training programs . Includes occupational titles such as welders, cutters, solderers and brazers; bookbinders and bindery workers; printers; cabinetmakers and bench carpenters; plant and system operators; stationary engineers and boiler operators; water and liquid waste treatment plant and system operators; crushing, grinding, polishing, mixing, and blending workers; medical, dental, and ophthalmic laboratory technicians; painting workers; photographic process workers and processing machine operators; and etchers and engravers.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Special admissions tests","Tests prepared by or for a particular institution, or state (for some state institutions) and administered by the institution, for purposes of determining prospective students' skills and competencies.",""
"Specialized accreditation","Specialized accreditation normally applies to the evaluation of programs, departments, or schools which usually are parts of a total collegiate or other postsecondary institution. The unit accredited may be as large as a college or school within a university or as small as a curriculum within a discipline. Most of the specialized accrediting agencies review units within a postsecondary institution which is accredited by one of the regional accrediting commissions. However, certain of the specialized accrediting agencies accredit professional schools and other specialized or vocational or other postsecondary institutions which are free-standing in their operations. Thus, a 'specialized' or 'programmatic' accrediting agency may also function in the capacity of an 'institutional' accrediting agency. In addition, a number of specialized accrediting agencies accredit educational programs within non-educational settings, such as hospitals.","Accrediting agencies,Accrediting bodies"
"Specialized institutions (Carnegie)","These institutions offer degrees  ranging from the bachelor's to the doctor's, and typically award a majority of degrees in a single field or combination of related fields.","Medical schools and medical centers (Carnegie),Other separate health profession schools (Carnegie),Other specialized institutions (Carnegie),Schools of art, music, and design (Carnegie),Schools of business and management (Carnegie),Schools of engineering and technology (Carnegie),Schools of law (Carnegie),Teachers colleges (Carnegie),Theological seminaries and other specialized faith-related institutions (Carnegie)"
"Stafford Loans","(Higher Education Act of 1965, Title IV-B, as amended, Public Law 89-329; 20 USC 1071.) Provides guaranteed loans for educational expenses from eligible lenders to vocational or academic undergraduate,  graduate, and first-professional students  at eligible postsecondary institutions.",""
"Standard term","For Title IV purposes, a standard term is a semester, quarter, or trimester",""
"Standardized admissions tests","Tests prepared and administered by an agency that is independent of any postsecondary education institution. Tests provide information about prospective students and their academic qualifications relative to a national sample. Examples are the SAT and the ACT.",""
"State and local government grants","State and local monies awarded to the institution under state and local student aid programs, including the state portion of State Student Incentives Grants (SSIG). (Used for reporting on the Student Financial Aid component)",""
"State and local government grants and contracts (revenues)","Revenues from state and local government agencies that are for training programs  and similar activities for which amounts are received or expenditures are reimbursable under the terms of a state or local government grant or contract.",""
"State and local grants","Grant monies provided by the state such as Leveraging Educational Assistance Partnerships (LEAP) (formerly SSIG's); merit scholarships provided by the state; and tuition and fee waivers for which the institution was reimbursed by a state agency. Local government grants include scholarships or gift-aid awarded directly to the student. (Used for reporting for private for-profit institutions on the Finance component )",""
"State government grants and contracts (revenues)","Revenues from state Government agencies that are for training programs  and similar activities for which amounts are received or expenditures are reimbursable under the terms of a state government grant or contract.",""
"State grants (revenues)","A sum of money or property bestowed on a postsecondary institution by a state government.",""
"State of residence","A person's permanent address as determined by such evidence as a driver's license or voter registration. For entering freshmen, state of residence may be the legal state of residence of a parent or guardian.",""
"State unknown","Status used when the reporting institution is unable to determine from existing records the home state or residence of the student.",""
"Status date","In the collection of Graduation Rates  data, institutions report on the status of the students in their cohort as of August 31 of the reporting year.",""
"Status indicators","Used in the IPEDS data collection system to identify progress toward satisfying reporting (compliance) requirements. The survey status indicators are as follows:<ul><li>Not Applicable - The institution is not required to complete the component because the content is not relevant to the institution.</li><li>NO DATA - Screening questions have not been answered. Responses to all screening questions are required before data collection pages will be generated. </li><li>No Data - No data provided.</li><li>Has Data - Data have been entered. 'Perform Edits' must be run to determine if data are clean. </li><li>Edited - Edits have been run; institutions should go to the edit report to resolve edit errors. </li><li>Clean - All edit errors have been resolved; data are clean; proceed to Lock.</li><li>Locked - Data have been successfully submitted. Final lock must still be applied. </li><li>Complete - All locks have been applied.</li></ul>",""
"Stop out","A student who left the institution and returned at a later date.",""
"Student activities","Programs designed to support and complement the institution's academic mission and enhance the educational experience of students, individually and through student groups.  Includes exposure to and participation in social, cultural, recreational, intellectual, and governance activities.",""
"Student and Academic Affairs and Other Education Services Occupations","An occupational category based on the following three minor groups in the 2018 Standard Occupational Classification (SOC) Manual:&nbsp; 1) Pre-school, Primary, Secondary, and Special Education School Teachers (SOC code 25-2000) (https://www.bls.gov/soc/2018/major_groups.htm#25-0000); 2) Other Teachers and Instructors (SOC code 25-3000) (https://www.bls.gov/soc/2018/major_groups.htm#25-0000); and 3) Other Education Instruction and Library Occupations (SOC code 25-9000) (https://www.bls.gov/soc/2018/major_groups.htm#25-0000).",""
"Student counts","The number of individuals for whom instruction is provided in an educational program under the jurisdiction of a school or educational institution.",""
"Student Financial Aid (SFA)","This annual component of IPEDS began with a pilot test in 1999, and collected both institution price and student financial aid data. The 2000-01 data collection included questions regarding the total number of full-time first-time degree/certificate-students receiving financial assistance for the previous year, the number of those students who received financial assistance by type of aid, and, for aid recipients, the average amounts. The tuition and other price items are now part of the Institutional Characteristics (IC) component; the student financial aid questions remain part of SFA.",""
"Student Right-to-Know Act","Also known as the 'Student Right-to-Know and Campus Security Act' (P.L. 101-542), which was passed by Congress November 9, 1990. Title I, Section 103, requires institutions eligible for Title IV funding to calculate completion or graduation rates  of certificate- or degree-seeking, full-time students entering that institution, and to disclose these rates to all students and prospective students. Further, Section 104 requires each institution that participates in any Title IV program and is attended by students receiving athletically-related student aid to submit a report to the Secretary of Education annually. This report is to contain, among other things, graduation/completion rates of all students as well as students receiving athletically-related student aid by race/ethnicity and gender and by sport, and the average completion or graduation rate for the four most recent years. These data are also required to be disclosed to parents, coaches, and potential student athletes when the institution offers athletically-related student aid. The Graduation Rates component of IPEDS was developed specifically to help institutions respond to these requirements.  See Graduation Rates for the current description of data collected.",""
"Student services","A functional expense category that includes expenses for admissions, registrar activities, and activities whose primary purpose is to contribute to students emotional and physical well-being and to their intellectual, cultural, and social development outside the context of the formal instructional program. Examples include student activities, cultural events, student newspapers, intramural athletics, student organizations, supplemental instruction outside the normal administration, and student records. Intercollegiate athletics and student health services may also be included except when operated as self-supporting auxiliary enterprises. Also may include information technology expenses related to student service activities if the institution separately budgets and expenses information technology resources (otherwise these expenses are included in institutional support.) Institutions include actual or allocated costs for operation and maintenance of plant, interest, and depreciation.",""
"Student-to-faculty ratio","The ratio of  FTE students to FTE instructional staff, i.e., students divided by staff. <br><br>Students enrolled in 'stand-alone' graduate or professional programs and instructional staff teaching in these programs are <b>excluded</b> from both full-time and part-time counts.<br><br>'Stand-alone' graduate or professional programs are those programs such as medicine, law, veterinary, dentistry, social work, or public health, in which faculty teach virtually only graduate-level students (also referred to as 'independent' programs).<br><br>Each FTE value is equal to the number of full-time students/staff  plus 1/3 the number of part-time students/staff.",""
"Study abroad","Arrangement by which a student completes part of the college program studying in another country. Can be at a campus abroad or through a cooperative agreement with some other U.S. college or an institution of another country.",""
"Subcohort","A predefined subset of the initial cohort or the revised cohort established for tracking purposes. Degree/certificate-seeking students in the  bachelor's degree-seeking group in the Graduation Rates&nbsp;(GR) component and Pell-Grant, non-first-time, part-time students&nbsp;in the Outcome Measures&nbsp;(OM) component are examples of subcohorts.&nbsp;",""
"Survey status","A designation used by survey operations personnel to identify the progress made on the various IPEDS components by institutional respondents.","Status indicators"
"System","An organization of two or more institutions of higher education under the control or supervision of a common administrative governing body. Governing bodies generally have the power to act in their own name, to hire and fire personnel, enter into contracts, etc. A coordinating body without these powers or a section of a state agency usually would not be considered a system office.",""
"Teacher certification program","A program designed to prepare students to meet the requirements for certification as teachers in elementary, middle/junior high, and secondary schools.",""
"Teachers colleges (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Teachers Colleges award most of their bachelor's or graduate degrees  in education or education-related fields.","Carnegie Classification,Specialized institutions (Carnegie)"
"Technical and paraprofessional","<P>A primary function or occupational activity category used to classify persons whose assignments require specialized knowledge or skills which may be acquired through experience, apprenticeship, on-the-job-training, or academic work in occupationally specific programs that result in a 2-year degree or other certificate or diploma. Includes persons who perform some of the duties of a professional in a supportive role, which usually requires less formal training and/or experience than normally required for professional status. Includes mathematical technicians; life, physical, and social science technicians; agricultural and food science technicians; chemical technicians; geological and petroleum technicians; nuclear technicians; paralegals and legal assistants; miscellaneous legal support workers; health technologists and technicians; dietetic technicians; pharmacy technicians; licensed practical and licensed vocational nurses; medical records and health information technicians; opticians, dispensing; healthcare support occupations; nursing aides, orderlies, and attendants; physical therapist assistants and aides; massage therapists; dental assistants; medical assistants; and pharmacy aides.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Temporarily restricted","Net assets of FASB institutions whose use by the institution has been limited by donor specification as to use or the time when use may occur (such as a later period of time or after specified events have occurred).",""
"Tenure","Status of a personnel position with respect to permanence of the position.",""
"Tenure track","Personnel positions that lead to consideration for tenure.",""
